subject,session,stim,answer,conf,correct,contrast,rt,points
12,3,2,1,0.709,0,1,0.568325513,1
12,3,1,1,0.823,1,3,0.523757273,2
12,3,2,2,0.836,1,1,0.521288143,3
12,3,2,1,0.955,0,3,0.430290996,2
12,3,2,1,0.525,0,1,0.624413185,1
12,3,1,1,1,1,3,0.714815855,2
12,3,2,2,1,1,3,0.568143653,3
12,3,2,1,0.95,0,2,0.492549693,2
12,3,1,2,0.792,0,1,0.404539959,1
12,3,2,2,1,1,3,0.166624578,2
12,3,1,1,0.809,1,1,0.259644121,3
12,3,1,1,0.542,1,1,2.028980874,2
12,3,1,2,1,0,2,1.182451358,1
12,3,1,1,1,1,2,0.216196561,2
12,3,2,2,0.644,1,3,0.641850251,1
12,3,2,1,1,0,1,0.740098205,0
12,3,2,1,1,0,1,0.160879214,-1
12,3,1,1,0.787,1,3,0.269566326,0
12,3,1,2,1,0,3,0.494379908,-1
12,3,1,1,1,1,1,3.324341196,0
12,3,1,1,0.993,1,2,1.279340492,1
12,3,1,2,0.776,0,1,1.174968183,0
12,3,2,2,0.932,1,3,0.737502535,1
12,3,1,1,0.979,1,1,0.52788236,2
12,3,2,1,0.774,0,1,0.900208237,1
12,3,2,1,0.706,0,2,0.411197206,2
12,3,2,1,0.705,0,1,0.462066611,1
12,3,1,1,0.777,1,2,0.343962146,2
12,3,2,1,0.655,0,1,0.325054288,1
12,3,1,1,0.821,1,2,0.410195678,2
12,3,2,1,0.924,0,1,0.572037696,1
12,3,2,2,0.513,1,1,0.503094079,0
12,3,1,1,0.772,1,2,0.423435768,1
12,3,2,2,0.69,1,2,0.393321202,2
12,3,1,1,0.598,1,2,0.300411845,3
12,3,1,2,0.725,0,1,0.266519748,2
13,1,1,2,0.508,0,1,2.145499384,-1
13,1,1,2,0.603,0,1,4.050576421,-2
13,1,1,1,0.595,1,1,2.024369256,-3
13,1,2,2,0.804,1,3,1.680946744,-2
13,1,2,2,0.996,1,3,1.278192818,-1
13,1,1,1,0.709,1,1,1.549946602,0
13,1,2,2,1,1,1,1.896948604,1
13,1,2,2,1,1,1,1.110710119,2
13,1,1,1,1,1,1,1.078393027,3
13,1,1,1,0.986,1,2,1.027643539,4
13,1,2,2,0.997,1,1,1.404980343,5
13,1,2,2,1,1,3,1.456495415,6
13,1,1,1,1,1,3,1.133755705,7
13,1,1,1,1,1,1,1.148401672,8
13,1,2,2,1,1,1,1.089036514,9
13,2,2,2,0.591,1,3,2.19350064,1
13,2,2,2,0.795,1,2,1.66240476,2
13,2,2,2,0.787,1,3,1.468486327,3
13,2,1,1,1,1,1,1.099035045,4
13,2,2,1,0.651,0,1,1.210060734,3
13,2,2,1,0.984,0,2,1.996945624,2
13,2,1,1,0.985,1,2,0.997223156,3
13,2,1,1,0.995,1,2,1.040482394,4
